Country,ISO-3,Income,WHO region,WB region,National NCD targets,Mortality data,Risk factor surveys,National action plan,Tobacco tax,Smoke-free places,Graphic warnings,Tobacco advertising bans,Tobacco mass media,Alcohol sale restrictions,Alcohol advertising bans,Alcohol tax,Salt policies,Fat policies,Child food marketing,Breast milk code,Physical activity mass media,Clinical guidelines,Cardiovascular therapies,Total
Afghanistan,AFG,Low income,EMRO,South Asia,0,0,0.5,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,7.5
Albania,ALB,Upper middle income,EURO,Europe & Central Asia,1,0.5,0.5,1,0.5,1,0.5,1,0,0.5,0,0.5,0,0,1,1,0,0.5,0,9.5
Algeria,DZA,Upper middle income,AFRO,Middle East & North Africa,0,0,0.5,0.5,0,0.5,0,0.5,NR,0,0,0,0,0,0,0.5,0,0.5,0,3
Andorra,AND,High income,EURO,Europe & Central Asia,0,0.5,0.5,0,1,0.5,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,DK,4
Angola,AGO,Lower middle income,AFRO,Sub-Saharan Africa,0,0,0.5,0,0,0.5,0,0,NR,0.5,0,0,0,DK,0,0,0,0,0,1.5
Antigua and Barbuda,ATG,High income,PAHO,Latin America & Caribbean,1,1,0,1,0,1,0.5,1,0,0.5,0,0,0,0,0,0,1,0,0,7
Argentina,ARG,Upper middle income,PAHO,Latin America & Caribbean,1,1,1,0.5,1,1,1,0.5,0.5,0.5,0.5,0,0.5,1,0,0.5,0.5,1,0.5,12.5
Armenia,ARM,Upper middle income,EURO,Europe & Central Asia,1,1,1,1,0,0.5,1,0,NR,0.5,0.5,0.5,0,0.5,0,1,0.5,0.5,0.5,10
Australia,AUS,High income,WPRO,East Asia & Pacific,0,1,0.5,0,1,1,1,0.5,1,0.5,0,0,0.5,0.5,1,0,1,1,DK,10.5
Austria,AUT,High income,EURO,Europe & Central Asia,0,1,0.5,0,1,0,1,0.5,1,0,0.5,0,0.5,1,0,0.5,1,0.5,1,10
Azerbaijan,AZE,Upper middle income,EURO,Europe & Central Asia,0.5,0.5,1,1,0,0.5,0.5,1,0.5,0.5,NR,0.5,0.5,1,1,0.5,0.5,1,0,11
Bahamas,BHS,High income,PAHO,Latin America & Caribbean,1,1,0.5,0.5,NR,0,0,0,0,0.5,0,0.5,0,0,0,0,1,0.5,DK,5.5
Bahrain,BHR,High income,EMRO,Middle East & North Africa,1,0.5,0.5,1,0.5,0,0.5,1,0.5,0.5,0,0.5,1,1,1,1,0.5,0.5,1,12.5
Bangladesh,BGD,Lower middle income,SEARO,South Asia,1,0,0.5,1,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0,0,0,1,0,1,0,9.5
Barbados,BRB,High income,PAHO,Latin America & Caribbean,1,0.5,0.5,1,0,1,1,0,0,0.5,0,0.5,0,0,0,0,1,0.5,0,7.5
Belarus,BLR,Upper middle income,EURO,Europe & Central Asia,0.5,1,1,1,0.5,0,1,0.5,1,0.5,1,1,0.5,1,1,0,1,1,1,14.5
Belgium,BEL,High income,EURO,Europe & Central Asia,0,1,1,0,1,0.5,1,0.5,0,0.5,0,0.5,1,1,1,0.5,1,1,1,12.5
Belize,BLZ,Upper middle income,PAHO,Latin America & Caribbean,1,1,0,1,0,0,0,0,0,1,0,0.5,0,0,0,0,1,0.5,DK,6
